,process,region,process_type,title
0,data_obs,fwd1bPass,DATA,Data
1,16_TTbar,fwd1bPass,BKG,t#bar{t}
2,QCD,fwd1bPass,BKG,QCD
3,TotalBkg,fwd1bPass,TOTAL,TotalBkg
4,data_obs,fwd2bPass,DATA,Data
5,16_TTbar,fwd2bPass,BKG,t#bar{t}
6,QCD,fwd2bPass,BKG,QCD
7,TotalBkg,fwd2bPass,TOTAL,TotalBkg
8,data_obs,cen2bPass,DATA,Data
9,16_TTbar,cen2bPass,BKG,t#bar{t}
10,QCD,cen2bPass,BKG,QCD
11,TotalBkg,cen2bPass,TOTAL,TotalBkg
12,data_obs,cen1bPass,DATA,Data
13,16_TTbar,cen1bPass,BKG,t#bar{t}
14,QCD,cen1bPass,BKG,QCD
15,TotalBkg,cen1bPass,TOTAL,TotalBkg
16,data_obs,fwd2bFail,DATA,Data
17,16_TTbar,fwd2bFail,BKG,t#bar{t}
18,QCD,fwd2bFail,BKG,QCD
19,TotalBkg,fwd2bFail,TOTAL,TotalBkg
20,data_obs,fwd1bFail,DATA,Data
21,16_TTbar,fwd1bFail,BKG,t#bar{t}
22,QCD,fwd1bFail,BKG,QCD
23,TotalBkg,fwd1bFail,TOTAL,TotalBkg
24,data_obs,cen0bFail,DATA,Data
25,16_TTbar,cen0bFail,BKG,t#bar{t}
26,QCD,cen0bFail,BKG,QCD
27,TotalBkg,cen0bFail,TOTAL,TotalBkg
28,data_obs,cen0bPass,DATA,Data
29,16_TTbar,cen0bPass,BKG,t#bar{t}
30,QCD,cen0bPass,BKG,QCD
31,TotalBkg,cen0bPass,TOTAL,TotalBkg
32,data_obs,fwd0bPass,DATA,Data
33,16_TTbar,fwd0bPass,BKG,t#bar{t}
34,QCD,fwd0bPass,BKG,QCD
35,TotalBkg,fwd0bPass,TOTAL,TotalBkg
36,data_obs,fwd0bFail,DATA,Data
37,16_TTbar,fwd0bFail,BKG,t#bar{t}
38,QCD,fwd0bFail,BKG,QCD
39,TotalBkg,fwd0bFail,TOTAL,TotalBkg
40,data_obs,cen1bFail,DATA,Data
41,16_TTbar,cen1bFail,BKG,t#bar{t}
42,QCD,cen1bFail,BKG,QCD
43,TotalBkg,cen1bFail,TOTAL,TotalBkg
44,data_obs,cen2bFail,DATA,Data
45,16_TTbar,cen2bFail,BKG,t#bar{t}
46,QCD,cen2bFail,BKG,QCD
47,TotalBkg,cen2bFail,TOTAL,TotalBkg
